Date,SPY
2022-01-03,449.4864501953125
2022-01-04,449.3358154296875
2022-01-05,440.7076721191406
2022-01-06,440.293701171875
2022-01-07,438.5530090332031
2022-01-10,438.0071716308594
2022-01-11,441.9967956542969
2022-01-12,443.19171142578125
2022-01-13,437.0851135253906
2022-01-14,437.2638854980469
2022-01-18,429.5201110839844
2022-01-19,425.0602111816406
2022-01-20,420.35565185546875
2022-01-21,412.1037292480469
2022-01-24,413.85382080078125
2022-01-25,408.8011474609375
2022-01-26,407.7755126953125
2022-01-27,405.7618713378906
2022-01-28,415.8392639160156
2022-01-31,423.32891845703125
2022-02-01,426.1893310546875
2022-02-02,430.32928466796875
2022-02-03,420.2144470214844
2022-02-04,422.19036865234375
2022-02-07,420.8354797363281
2022-02-08,424.2980041503906
2022-02-09,430.5080871582031
2022-02-10,422.7738037109375
2022-02-11,414.43719482421875
2022-02-14,413.08221435546875
2022-02-15,419.74395751953125
2022-02-16,420.2144470214844
2022-02-17,411.2380676269531
2022-02-18,408.5753173828125
2022-02-22,404.1906433105469
2022-02-23,397.0208435058594
2022-02-24,402.9956970214844
2022-02-25,411.8872985839844
2022-02-28,410.8335876464844
2022-03-01,404.57647705078125
2022-03-02,412.01904296875
2022-03-03,409.96783447265625
2022-03-04,406.636962890625
2022-03-07,394.649658203125
2022-03-08,391.65753173828125
2022-03-09,402.1582946777344
2022-03-10,400.34222412109375
2022-03-11,395.2519226074219
2022-03-14,392.3633117675781
2022-03-15,400.991455078125
2022-03-16,409.8831481933594
2022-03-17,415.0111083984375
2022-03-18,419.5567321777344
2022-03-21,419.4340515136719
2022-03-22,424.342041015625
2022-03-23,418.8771667480469
2022-03-24,425.1914367675781
2022-03-25,427.2679138183594
2022-03-28,430.30712890625
2022-03-29,435.63031005859375
2022-03-30,432.9404296875
2022-03-31,426.2768859863281
2022-04-01,427.4849853515625
2022-04-04,431.1470642089844
2022-04-05,425.701171875
2022-04-06,421.44439697265625
2022-04-07,423.56805419921875
2022-04-08,422.4354248046875
2022-04-11,415.21502685546875
2022-04-12,413.67657470703125
2022-04-13,418.4147033691406
2022-04-14,413.20458984375
2022-04-18,413.37457275390625
2022-04-19,420.0475158691406
2022-04-20,419.7360534667969
2022-04-21,413.45953369140625
2022-04-22,402.1144714355469
2022-04-25,404.44580078125
2022-04-26,392.73272705078125
2022-04-27,393.8370056152344
2022-04-28,403.7851257324219
2022-04-29,388.8629150390625
2022-05-02,391.20367431640625
2022-05-03,392.99700927734375
2022-05-04,404.96490478515625
2022-05-05,390.5712890625
2022-05-06,388.239990234375
2022-05-09,375.80963134765625
2022-05-10,376.677978515625
2022-05-11,370.6940002441406
2022-05-12,370.3070068359375
2022-05-13,379.1603088378906
2022-05-16,377.6217956542969
2022-05-17,385.3896484375
2022-05-18,369.8539733886719
2022-05-19,367.5887756347656
2022-05-20,367.7492370605469
2022-05-23,374.6298522949219
2022-05-24,371.76995849609375
2022-05-25,375.0545654296875
2022-05-26,382.54864501953125
2022-05-27,391.9399108886719
2022-05-31,389.7407531738281
2022-06-01,386.58831787109375
2022-06-02,393.9502868652344
2022-06-03,387.4849853515625
2022-06-06,388.66473388671875
2022-06-07,392.3929443359375
2022-06-08,388.1268005371094
2022-06-09,378.8960266113281
2022-06-10,367.9096374511719
2022-06-13,353.94085693359375
2022-06-14,352.874267578125
2022-06-15,357.9049987792969
2022-06-16,346.0597229003906
2022-06-17,346.8056945800781
2022-06-21,355.53607177734375
2022-06-22,354.8915100097656
2022-06-23,358.370361328125
2022-06-24,369.76434326171875
2022-06-27,368.35198974609375
2022-06-28,360.8254699707031
2022-06-29,360.5315856933594
2022-06-30,357.60260009765625
2022-07-01,361.3847351074219
2022-07-05,362.0672607421875
2022-07-06,363.28997802734375
2022-07-07,368.7310791015625
2022-07-08,368.4277648925781
2022-07-11,364.2190856933594
2022-07-12,360.9960632324219
2022-07-13,359.1002197265625
2022-07-14,358.2281799316406
2022-07-15,365.0721740722656
2022-07-18,362.05780029296875
2022-07-19,371.8402404785156
2022-07-20,374.21014404296875
2022-07-21,378.020751953125
2022-07-22,374.5133972167969
2022-07-25,374.96844482421875
2022-07-26,370.53216552734375
2022-07-27,380.1535339355469
2022-07-28,384.92156982421875
2022-07-29,390.5332336425781
2022-08-01,389.3768310546875
2022-08-02,386.8079528808594
2022-08-03,392.8652038574219
2022-08-04,392.59967041015625
2022-08-05,391.93621826171875
2022-08-08,391.481201171875
2022-08-09,389.9266357421875
2022-08-10,398.1166687011719
2022-08-11,398.1166687011719
2022-08-12,404.8562927246094
2022-08-15,406.5246887207031
2022-08-16,407.3209533691406
2022-08-17,404.42974853515625
2022-08-18,405.6051940917969
2022-08-19,400.1545715332031
2022-08-22,391.82244873046875
2022-08-23,390.8746032714844
2022-08-24,392.1258544921875
2022-08-25,397.6616516113281
2022-08-26,384.2011413574219
2022-08-29,381.6607971191406
2022-08-30,377.47100830078125
2022-08-31,374.59869384765625
2022-09-01,375.77410888671875
2022-09-02,371.8118896484375
2022-09-06,370.4089660644531
2022-09-07,377.0633239746094
2022-09-08,379.52789306640625
2022-09-09,385.4239501953125
2022-09-12,389.5663757324219
2022-09-13,372.62713623046875
2022-09-14,374.0488586425781
2022-09-15,369.80224609375
2022-09-16,366.9811096191406
2022-09-19,369.82696533203125
2022-09-20,365.5819396972656
2022-09-21,359.2048034667969
2022-09-22,356.1875
2022-09-23,350.2196350097656
2022-09-26,346.75506591796875
2022-09-27,345.8699035644531
2022-09-28,352.6753845214844
2022-09-29,345.30828857421875
2022-09-30,339.9686584472656
2022-10-03,348.9442138671875
2022-10-04,359.7568359375
2022-10-05,358.9192199707031
2022-10-06,355.21673583984375
2022-10-07,345.30828857421875
2022-10-10,342.6717224121094
2022-10-11,340.5016784667969
2022-10-12,339.3785095214844
2022-10-13,348.3350830078125
2022-10-14,340.39697265625
2022-10-17,349.1441345214844
2022-10-18,353.24639892578125
2022-10-19,350.7431640625
2022-10-20,347.80206298828125
2022-10-21,356.25421142578125
2022-10-24,360.61346435546875
2022-10-25,366.3719177246094
2022-10-26,363.6116638183594
2022-10-27,361.6700134277344
2022-10-28,370.2744140625
2022-10-31,367.5997314453125
2022-11-01,365.9912109375
2022-11-02,356.80621337890625
2022-11-03,353.13226318359375
2022-11-04,358.2148742675781
2022-11-07,361.6414489746094
2022-11-08,363.59259033203125
2022-11-09,356.10186767578125
2022-11-10,375.671142578125
2022-11-11,379.3070373535156
2022-11-14,376.0803527832031
2022-11-15,379.2879638671875
2022-11-16,376.3945617675781
2022-11-17,375.24285888671875
2022-11-18,376.9465637207031
2022-11-21,375.57598876953125
2022-11-22,380.63006591796875
2022-11-23,383.0286865234375
2022-11-25,382.9429626464844
2022-11-28,376.83233642578125
2022-11-29,376.1851501464844
2022-11-30,388.03521728515625
2022-12-01,387.74969482421875
2022-12-02,387.3022766113281
2022-12-05,380.3350524902344
2022-12-06,374.8525695800781
2022-12-07,374.21484375
2022-12-08,377.14642333984375
2022-12-09,374.3290710449219
2022-12-12,379.7259216308594
2022-12-13,382.6003723144531
2022-12-14,380.1541748046875
2022-12-15,370.8550109863281
2022-12-16,366.47662353515625
2022-12-19,363.3690490722656
2022-12-20,363.8662414550781
2022-12-21,369.30694580078125
2022-12-22,364.0382995605469
2022-12-23,366.1323547363281
2022-12-27,364.6885681152344
2022-12-28,360.1562194824219
2022-12-29,366.6391906738281
2022-12-30,365.67340087890625
2023-01-03,364.1339416503906
2023-01-04,366.9451599121094
2023-01-05,362.7570495605469
2023-01-06,371.07586669921875
2023-01-09,370.8654479980469
2023-01-10,373.4663391113281
2023-01-11,378.1898498535156
2023-01-12,379.5667419433594
2023-01-13,381.039306640625
2023-01-17,380.3412170410156
2023-01-18,374.33648681640625
2023-01-19,371.6113586425781
2023-01-20,378.5340576171875
2023-01-23,383.0760192871094
2023-01-24,382.6648254394531
2023-01-25,382.8081970214844
2023-01-26,387.0154113769531
2023-01-27,387.90472412109375
2023-01-30,383.0377197265625
2023-01-31,388.6696472167969
2023-02-01,392.80035400390625
2023-02-02,398.5183410644531
2023-02-03,394.2825012207031
2023-02-06,391.8728332519531
2023-02-07,396.99798583984375
2023-02-08,392.65692138671875
2023-02-09,389.2529296875
2023-02-10,390.1612854003906
2023-02-13,394.74139404296875
2023-02-14,394.5597839355469
2023-02-15,395.841064453125
2023-02-16,390.3907470703125
2023-02-17,389.4154357910156
2023-02-21,381.60345458984375
2023-02-22,381.07757568359375
2023-02-23,383.1046447753906
2023-02-24,379.0121765136719
2023-02-27,380.30303955078125
2023-02-28,378.8974609375
2023-03-01,377.4440612792969
2023-03-02,380.3795166015625
2023-03-03,386.47998046875
2023-03-06,386.74774169921875
2023-03-07,380.81939697265625
