Date,AAPL,ABBV,ADBE,AMZN,BAC,COST,CRM,CSCO,CVX,DIS,GOOGL,HD,INTC,JPM,KO,MA,MCD,META,MRK,MSFT,NKE,NVDA,PEP,PG,T,TSLA,V,VZ,WMT,XOM
2022-01-03,177.93972778320312,114.0820083618164,564.3699951171875,170.4044952392578,41.265342712402344,537.924560546875,251.1156005859375,55.29070281982422,99.58718872070312,151.9886932373047,143.71713256835938,364.1552734375,49.35048294067383,143.54490661621094,51.932373046875,360.5939636230469,242.08303833007812,335.59295654296875,66.98716735839844,322.4624328613281,152.11880493164062,30.026147842407227,149.665771484375,144.1512451171875,14.572100639343262,399.9266662597656,213.9703826904297,38.681976318359375,45.584693908691406,54.39106369018555
2022-01-04,175.68136596679688,113.86299896240234,554.0,167.52200317382812,42.88270950317383,535.5704345703125,244.008544921875,53.93463897705078,101.39920806884766,150.9900665283203,143.13034057617188,367.8981628417969,49.285552978515625,148.98667907714844,52.799373626708984,364.90997314453125,242.0199737548828,333.6004638671875,67.10916137695312,316.93310546875,153.7076873779297,29.197763442993164,149.88209533691406,144.65565490722656,14.692435264587402,383.1966552734375,214.96572875976562,39.441749572753906,44.749576568603516,56.43693542480469
2022-01-05,171.00827026367188,114.46111297607422,514.4299926757812,164.35699462890625,42.15892028808594,521.9873657226562,223.7981719970703,53.08049011230469,102.05891418457031,150.4665069580078,136.5640411376953,362.90771484375,49.962608337402344,146.2628936767578,53.23725128173828,363.4616394042969,240.83018493652344,321.3480529785156,68.73875427246094,304.76666259765625,149.88327026367188,27.51706886291504,150.3925323486328,145.3104705810547,15.019060134887695,362.7066650390625,212.58859252929688,39.84745407104492,45.35463333129883,57.138858795166016
2022-01-06,168.1536102294922,113.92196655273438,514.1199951171875,163.25399780273438,43.00782012939453,521.873291015625,225.2530059814453,53.64405059814453,102.92733001708984,152.12445068359375,136.53680419921875,361.5888671875,50.09245681762695,147.81675720214844,52.95701217651367,360.1424560546875,243.08355712890625,329.56591796875,68.6951675415039,302.3584289550781,148.76547241210938,28.089262008666992,150.42718505859375,144.0893096923828,14.96175765991211,354.8999938964844,212.34701538085938,39.655662536621094,45.22857666015625,58.48280334472656
2022-01-07,168.31979370117188,113.6270980834961,510.70001220703125,162.5540008544922,43.94606399536133,508.9450988769531,224.4272918701172,53.8289680480957,104.40536499023438,153.02615356445312,135.81271362304688,350.7615051269531,49.56380844116211,149.28134155273438,52.83440399169922,359.80181884765625,240.71302795410156,328.9017333984375,69.97618865966797,302.5125732421875,145.00570678710938,27.161190032958984,150.61752319335938,144.00962829589844,15.472893714904785,342.32000732421875,209.65098571777344,40.49177932739258,45.66032409667969,58.96215057373047
2022-01-10,168.3393096923828,114.89916229248047,525.8300170898438,161.48599243164062,43.72267150878906,492.4478454589844,225.72486877441406,54.43656539916992,104.47216796875,151.8336181640625,137.45069885253906,345.2808532714844,51.205421447753906,149.4242401123047,52.92197799682617,354.2146911621094,238.324462890625,325.214111328125,71.78005981445312,302.73406982421875,138.97340393066406,27.31371307373047,150.6953582763672,142.04515075683594,15.572949409484863,352.7066650390625,204.82911682128906,40.21555709838867,45.57209014892578,58.611209869384766
2022-01-11,171.1646728515625,115.3877944946289,529.8900146484375,165.36199951171875,43.972877502441406,495.51385498046875,230.84625244140625,54.92087173461914,106.86039733886719,153.0843048095703,138.5078125,344.5769958496094,51.85464859008789,149.57608032226562,52.93949508666992,356.5313720703125,236.2603759765625,331.459228515625,71.1700668334961,303.41802978515625,138.84410095214844,27.729400634765625,150.62615966796875,140.3992462158203,15.502326011657715,354.79998779296875,207.1579132080078,40.006526947021484,45.442867279052734,61.07651901245117
2022-01-12,171.60462951660156,115.65735626220703,532.3699951171875,165.20700073242188,43.66012954711914,499.0924072265625,233.78538513183594,54.70073318481445,106.32595825195312,152.99705505371094,140.18740844726562,347.009765625,51.69697570800781,150.42449951171875,53.018314361572266,357.5241394042969,235.1787567138672,330.3589782714844,70.7604751586914,306.5872497558594,140.60850524902344,27.91082763671875,150.46176147460938,140.7089385986328,15.567062377929688,368.739990234375,208.4430694580078,39.90202713012695,45.203372955322266,60.896759033203125
2022-01-13,168.3393096923828,113.64860534667969,516.9000244140625,161.21400451660156,43.570770263671875,490.6255187988281,224.74188232421875,54.15476608276367,105.8833999633789,150.70892333984375,137.36892700195312,344.853271484375,50.95500946044922,150.23692321777344,53.333580017089844,359.67529296875,235.6204376220703,323.6379699707031,70.86504364013672,293.6117248535156,138.1881866455078,26.491313934326172,150.7040252685547,140.0718231201172,15.773056983947754,343.85333251953125,207.7570343017578,39.95427322387695,45.84310531616211,60.4601936340332
2022-01-14,169.19964599609375,115.64885711669922,520.5999755859375,162.13800048828125,42.81122970581055,477.4409484863281,227.29762268066406,54.031497955322266,107.68709564208984,147.31544494628906,138.25457763671875,331.50396728515625,51.65987014770508,141.00283813476562,53.7627067565918,362.2254333496094,232.28543090820312,329.0107727050781,70.91734313964844,298.81353759765625,136.88568115234375,26.857154846191406,151.96725463867188,141.41683959960938,15.996705055236816,349.8699951171875,207.43814086914062,39.77511215209961,45.71389389038086,61.52165222167969
2022-01-18,166.00279235839844,116.42341613769531,513.3400268554688,158.91749572753906,41.336822509765625,463.27886962890625,222.21556091308594,52.59617614746094,108.03781127929688,147.6353759765625,134.8026580810547,326.79876708984375,50.788063049316406,135.09088134765625,53.333580017089844,356.5409851074219,231.17684936523438,315.3804626464844,71.05677032470703,291.5406799316406,135.74942016601562,25.821426391601562,150.51368713378906,138.69137573242188,16.073213577270508,343.5033264160156,208.4430694580078,39.887088775634766,44.9134407043457,62.55742263793945
2022-01-19,162.5126190185547,115.08708190917969,516.5800170898438,156.2989959716797,41.4976692199707,465.2627258300781,222.42198181152344,51.86531066894531,107.64533233642578,145.54112243652344,133.92893981933594,320.5340270996094,49.73073959350586,133.0011444091797,53.421165466308594,351.1194763183594,230.04112243652344,316.80792236328125,70.83891296386719,292.1956787109375,134.04971313476562,24.988059997558594,151.59523010253906,143.35484313964844,16.055559158325195,331.8833312988281,207.4477996826172,39.93935012817383,45.36094284057617,62.58309555053711
2022-01-20,160.83106994628906,113.23150634765625,510.8500061035156,151.66749572753906,40.881103515625,458.29547119140625,219.14862060546875,51.143253326416016,107.26118469238281,143.1269073486328,132.13583374023438,311.52459716796875,48.26535415649414,131.8669891357422,53.20222473144531,354.30230712890625,228.15731811523438,313.8043518066406,70.3683090209961,290.52923583984375,131.85110473632812,24.073945999145508,150.49636840820312,144.12887573242188,15.90253734588623,332.0899963378906,207.12893676757812,39.86469650268555,44.50376892089844,62.720054626464844
2022-01-21,158.77804565429688,112.33778381347656,499.9100036621094,142.64300537109375,40.13943099975586,457.1469421386719,214.9119110107422,49.910457611083984,105.97525024414062,133.19859313964844,129.20579528808594,311.0968322753906,48.26535415649414,129.5629425048828,52.93949508666992,345.6199951171875,229.4732666015625,300.5309143066406,69.69732666015625,285.1636962890625,132.05429077148438,23.30039405822754,150.73866271972656,144.6804962158203,15.661231994628906,314.6333312988281,198.99256896972656,39.68552780151367,44.179176330566406,61.778446197509766
2022-01-24,158.00570678710938,112.49099731445312,519.6599731445312,144.54400634765625,39.808815002441406,464.066650390625,219.23709106445312,50.10417938232422,106.2007064819336,133.2761688232422,129.65432739257812,324.2054443359375,48.172603607177734,129.4468231201172,52.510372161865234,340.11077880859375,228.5899658203125,306.02264404296875,68.6951675415039,285.49114990234375,134.87184143066406,23.298398971557617,149.96861267089844,143.50604248046875,15.502326011657715,310.0,195.050048828125,39.53622817993164,44.182315826416016,62.309181213378906
2022-01-25,156.2068328857422,113.28260040283203,502.7200012207031,139.98599243164062,40.59516143798828,453.0748596191406,211.72702026367188,49.40853500366211,110.71829986572266,132.35507202148438,125.8193359375,319.9013366699219,47.300785064697266,130.8578643798828,52.387779235839844,329.7347717285156,225.94900512695312,297.53717041015625,69.24417877197266,277.90045166015625,134.3914337158203,22.253700256347656,148.24684143066406,141.9402313232422,15.584722518920898,306.1333312988281,195.1949920654297,39.491432189941406,43.22114944458008,64.14103698730469
2022-01-26,156.118896484375,114.25292205810547,500.80999755859375,138.87249755859375,41.015140533447266,458.9125671386719,207.41168212890625,48.7216911315918,110.80177307128906,129.53366088867188,128.0971221923828,318.3863830566406,47.94073486328125,132.09918212890625,52.19510269165039,335.4776306152344,225.20086669921875,292.0652160644531,68.96532440185547,285.8186950683594,133.01504516601562,22.700284957885742,146.68075561523438,140.7035675048828,14.272258758544922,312.4700012207031,198.93458557128906,38.087947845458984,42.77995300292969,63.4904670715332
2022-01-27,155.65939331054688,115.73397064208984,493.04998779296875,139.6374969482422,40.63090133666992,458.0107421875,209.12208557128906,48.09648895263672,113.0396957397461,131.29824829101562,127.87114715576172,317.6288757324219,44.564762115478516,129.76832580566406,52.238887786865234,341.1911315917969,224.20040893554688,292.0750732421875,70.22017669677734,288.83380126953125,133.61546325683594,21.874895095825195,146.54229736328125,141.57545471191406,14.19575309753418,276.3666687011719,199.20518493652344,38.214866638183594,42.808319091796875,64.30369567871094
2022-01-28,166.5209503173828,117.39374542236328,518.1599731445312,143.97799682617188,40.98833084106445,467.41741943359375,218.35238647460938,48.9682502746582,109.06491088867188,134.41055297851562,132.17892456054688,326.6383361816406,44.26797103881836,130.92929077148438,53.28103256225586,372.31927490234375,230.82528686523438,299.0835266113281,70.49903869628906,296.9447021484375,134.7886962890625,22.7680721282959,149.39756774902344,142.79432678222656,14.837267875671387,282.1166687011719,220.319091796875,39.491432189941406,43.33775329589844,64.44065856933594
2022-01-31,170.8714141845703,116.51702880859375,534.2999877929688,149.57350158691406,41.2296028137207,479.47235107421875,228.673828125,49.021080017089844,109.6661376953125,138.61843872070312,134.11428833007812,327.0304260253906,45.27891159057617,132.70643615722656,53.42991638183594,376.0860900878906,233.8538360595703,310.53302001953125,71.00447082519531,299.56488037109375,136.78407287597656,24.408889770507812,150.1329803466797,142.74984741210938,15.00794506072998,312.239990234375,218.5507354736328,39.73778533935547,44.05942153930664,65.02274322509766
2022-02-01,170.70521545410156,116.61070251464844,535.97998046875,151.19349670410156,41.9444580078125,482.585693359375,228.17251586914062,48.75690841674805,112.55538940429688,140.09217834472656,136.4342041015625,328.5632019042969,45.39947509765625,134.98373413085938,53.03583908081055,381.61480712890625,233.43919372558594,316.2230529785156,71.38790893554688,297.4263916015625,136.9226531982422,24.560407638549805,149.11203002929688,142.1181640625,14.37231731414795,310.4166564941406,224.53224182128906,39.71538543701172,44.40608215332031,69.19152069091797
2022-02-02,171.90769958496094,117.98959350585938,533.0900268554688,150.6125030517578,41.8997917175293,495.50439453125,221.1833953857422,49.461360931396484,113.0731201171875,138.2790985107422,146.6991729736328,333.0456848144531,45.918861389160156,133.90313720703125,53.57880401611328,386.1798400878906,236.4045867919922,320.18829345703125,71.46634674072266,301.953857421875,137.3752899169922,25.162511825561523,151.82015991210938,144.66270446777344,14.442937850952148,301.88665771484375,227.4891357421875,40.163307189941406,44.38716125488281,69.01176452636719
