Date,AAPL,ABBV,ADBE,AMZN,BAC,COST,CRM,CSCO,CVX,DIS,GOOGL,HD,INTC,JNJ,JPM,KO,MA,MCD,META,MRK,MSFT,NKE,NVDA,PEP,PG,T,V,VZ,WMT,XOM
2019-01-02,37.469200134277344,64.33151245117188,224.57000732421875,76.95649719238281,20.83681869506836,184.56832885742188,133.24481201171875,34.343711853027344,79.87269592285156,104.37767791748047,52.2705078125,143.13023376464844,40.51804733276367,103.79096984863281,80.4739990234375,37.341590881347656,181.54815673828125,147.79542541503906,134.49888610839844,57.2266845703125,94.19312286376953,66.55859375,3.373051404953003,86.69367218017578,74.7899398803711,12.996366500854492,126.06808471679688,36.33646774291992,27.913772583007812,49.66474533081055
2019-01-03,33.73698806762695,62.2119026184082,215.6999969482422,75.01399993896484,20.502891540527344,180.65631103515625,128.182373046875,33.094703674316406,78.34291076660156,101.84894561767578,50.82284164428711,139.9755401611328,38.28903579711914,102.14171600341797,79.3302993774414,37.110843658447266,173.35763549804688,146.82162475585938,130.5931854248047,56.05324935913086,90.72798919677734,65.38127136230469,3.1692628860473633,85.8844985961914,74.26557922363281,13.013962745666504,121.5250015258789,36.46620178222656,27.770231246948242,48.90220642089844
2019-01-04,35.17720031738281,64.21617889404297,226.19000244140625,78.76950073242188,21.35440444946289,185.90237426757812,135.61380004882812,34.5854606628418,79.96647644042969,104.9906997680664,53.429725646972656,144.1347198486328,40.63853454589844,103.8559799194336,82.25483703613281,37.85084533691406,181.56724548339844,149.65899658203125,136.74911499023438,57.741493225097656,94.94766235351562,67.08885955810547,3.3723092079162598,87.6456298828125,75.78136444091797,13.348329544067383,126.76043701171875,36.557010650634766,27.943683624267578,50.70521545410156
2019-01-07,35.098899841308594,65.15345001220703,229.25999450683594,81.47550201416016,21.33770179748535,186.58746337890625,139.80136108398438,34.81914520263672,81.00559997558594,105.90068817138672,53.32316970825195,146.97390747070312,40.8278694152832,103.18978118896484,82.3120346069336,37.35751724243164,182.96420288085938,151.28753662109375,136.84828186035156,57.10555648803711,95.06873321533203,68.05048370361328,3.550841808319092,86.8919906616211,75.47821044921875,13.590303421020508,129.04620361328125,36.79051208496094,28.27264404296875,50.96888732910156
2019-01-08,35.768001556396484,65.45623779296875,232.67999267578125,82.8290023803711,21.295957565307617,187.98460388183594,143.24185180664062,35.10116958618164,80.65196990966797,106.72442626953125,53.79152297973633,147.67953491210938,41.0860595703125,105.58650970458984,82.15682220458984,37.77922821044922,184.29647827148438,151.60653686523438,141.2892608642578,57.529518127441406,95.75804901123047,68.95816802978516,3.46244215965271,87.72498321533203,75.75679016113281,13.761895179748535,129.74806213378906,37.867244720458984,28.470022201538086,51.33946990966797
2019-01-09,36.375404357910156,63.3077392578125,235.42999267578125,82.97100067138672,21.504669189453125,189.2014617919922,143.5072479248047,34.90779113769531,81.73436737060547,107.92174530029297,53.607154846191406,149.2070770263672,41.31842803955078,104.74967956542969,82.01795959472656,37.05514907836914,187.64161682128906,151.3463134765625,142.97447204589844,57.09040832519531,97.12735748291016,68.83234405517578,3.5305376052856445,85.27362823486328,74.51956176757812,13.534917831420898,131.2750701904297,37.390777587890625,28.37731170654297,51.61028289794922
2019-01-10,36.491661071777344,63.58894348144531,237.77000427246094,82.81099700927734,21.4796199798584,189.86849975585938,144.5393829345703,34.843318939208984,81.86425018310547,108.04627227783203,53.46739959716797,148.65086364746094,41.791770935058594,105.38338470458984,82.00978088378906,37.45299530029297,188.77255249023438,152.40402221679688,142.94471740722656,56.38634490966797,96.50325775146484,68.67958068847656,3.596155881881714,85.79721069335938,74.69981384277344,13.669818878173828,131.52169799804688,37.75124740600586,28.39824867248535,51.346614837646484
2019-01-11,36.133392333984375,63.66823959350586,237.5500030517578,82.02799987792969,21.730058670043945,189.75131225585938,145.0407257080078,35.04477310180664,81.20762634277344,107.90259552001953,52.75570297241211,148.94139099121094,42.110206604003906,105.41588592529297,81.61767578125,37.66783142089844,187.76612854003906,153.09237670898438,142.5482177734375,56.70431137084961,95.75804901123047,68.33805847167969,3.685297966003418,85.8051528930664,75.1914291381836,13.881159782409668,130.94314575195312,38.02650833129883,28.362356185913086,51.111419677734375
2019-01-14,35.59004592895508,61.85831832885742,234.55999755859375,80.8604965209961,22.01390266418457,188.39024353027344,143.56622314453125,34.81914520263672,80.61589813232422,107.68228912353516,52.113399505615234,148.44332885742188,41.61103057861328,104.22157287597656,82.45907592773438,37.51665115356445,187.3157196044922,152.12701416015625,144.12435913085938,55.54599380493164,95.05944061279297,68.38299560546875,3.725165605545044,85.1387710571289,74.68341827392578,13.7687406539917,130.0326385498047,38.03306579589844,28.395254135131836,51.04728317260742
2019-01-15,36.31846237182617,62.398372650146484,242.36000061035156,83.72799682617188,22.164161682128906,190.22003173828125,146.65281677246094,35.47185134887695,80.90453338623047,107.05010223388672,53.848018646240234,146.50071716308594,41.82618713378906,105.09902954101562,83.06356811523438,37.85084533691406,188.36045837402344,151.95913696289062,147.65335083007812,56.4014892578125,97.816650390625,69.99169158935547,3.7110509872436523,86.4636001586914,75.38807678222656,13.759748458862305,130.26022338867188,38.07895278930664,28.78403091430664,51.0757942199707
